epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8032,1.98576,3.57712,2.10948,0.00227,0.68182,0.0738,0.02777,1.77609,4.56236,2.46924,2e-05,2e-05,2e-05
2,41.6263,1.87605,3.41141,2.00042,0.00258,0.77273,0.24438,0.08986,1.71538,4.29801,2.31936,5.9406e-05,5.9406e-05,5.9406e-05
3,56.2841,2.20016,3.32804,2.18937,0.00258,0.77273,0.33754,0.12361,1.58545,4.19298,2.12941,9.802e-05,9.802e-05,9.802e-05
4,71.0804,1.71657,3.04626,1.88982,0.00258,0.77273,0.38057,0.12365,1.50123,4.00056,1.99922,0.000135842,0.000135842,0.000135842
5,87.1495,1.84335,2.95767,1.91356,0.00258,0.77273,0.45932,0.18571,1.43313,4.00804,1.8644,0.000172872,0.000172872,0.000172872
6,101.615,1.60547,2.35566,1.71839,0.00273,0.81818,0.60796,0.2514,1.4434,3.85171,1.83049,0.00020911,0.00020911,0.00020911
7,115.153,1.90687,2.5922,1.75457,0.00288,0.86364,0.60753,0.29513,1.34363,3.82972,1.70277,0.000244556,0.000244556,0.000244556
8,128.55,1.73853,2.19372,1.71587,0.00333,1,0.71783,0.33198,1.3266,3.67618,1.64533,0.00027921,0.00027921,0.00027921
9,141.843,1.52276,2.4875,1.60085,0.00333,1,0.72542,0.33171,1.37288,3.63049,1.69565,0.000313072,0.000313072,0.000313072
10,154.928,1.50844,2.09611,1.55462,0.00333,1,0.66425,0.31021,1.42136,3.58202,1.72773,0.000346142,0.000346142,0.000346142
11,171.907,1.48496,2.06243,1.57547,0.00318,0.95455,0.67058,0.32681,1.427,3.6444,1.73745,0.00037842,0.00037842,0.00037842
12,185.704,1.50344,2.01526,1.5914,0.00318,0.95455,0.69663,0.37588,1.38157,3.59755,1.64629,0.000409906,0.000409906,0.000409906
13,199.26,1.20386,1.84114,1.38106,0.00318,0.95455,0.71873,0.37759,1.40992,3.55722,1.66636,0.0004406,0.0004406,0.0004406
14,213.357,1.51076,2.10215,1.61303,0.00288,0.86364,0.58181,0.33066,1.43123,3.7127,1.76284,0.000470502,0.000470502,0.000470502
15,226.943,1.23957,1.74819,1.39988,0.00288,0.86364,0.48827,0.25829,1.45726,3.84184,1.82412,0.000499612,0.000499612,0.000499612
16,240.794,1.30342,1.86526,1.48851,0.00288,0.86364,0.55501,0.28926,1.36645,3.76983,1.69888,0.00052793,0.00052793,0.00052793
17,254.013,1.34353,1.62233,1.38007,0.00303,0.90909,0.66044,0.34085,1.35133,3.77975,1.61937,0.000555456,0.000555456,0.000555456
18,267.811,1.33602,1.87287,1.42655,0.00303,0.90909,0.64994,0.35213,1.32737,3.68094,1.64895,0.00058219,0.00058219,0.00058219
19,281.289,1.47123,1.72941,1.53752,0.85628,0.68182,0.70439,0.36275,1.42668,3.54142,1.7195,0.000608132,0.000608132,0.000608132
20,296.661,1.46452,1.93573,1.60119,1,0.19867,0.69653,0.38511,1.29593,3.42182,1.56931,0.000633282,0.000633282,0.000633282
21,311.312,1.17301,1.77185,1.34319,1,0.54531,0.67995,0.34638,1.39631,3.36996,1.65913,0.00065764,0.00065764,0.00065764
22,325.719,1.43241,1.52708,1.49411,1,0.58122,0.68823,0.34706,1.40595,3.41349,1.73677,0.000681206,0.000681206,0.000681206
23,338.837,1.2947,1.54165,1.41643,0.88541,0.35225,0.56602,0.34843,1.46653,3.52578,1.70443,0.00070398,0.00070398,0.00070398
24,352.236,1.36208,1.58825,1.42329,0.8244,0.36364,0.59144,0.32684,1.56384,3.55445,1.73816,0.000725962,0.000725962,0.000725962
25,365.181,1.25069,1.99477,1.36466,0.73203,0.5,0.65592,0.36748,1.54755,3.3388,1.65834,0.000747152,0.000747152,0.000747152
26,378.239,1.30495,1.5631,1.32918,0.69014,0.60798,0.70463,0.39304,1.493,3.12712,1.87916,0.00076755,0.00076755,0.00076755
27,391.412,1.21613,1.41381,1.37028,0.73172,0.49614,0.585,0.37085,1.21105,3.16262,1.70989,0.000787156,0.000787156,0.000787156
28,404.55,1.24948,1.38433,1.37877,0.73172,0.49614,0.585,0.37085,1.21105,3.16262,1.70989,0.00080597,0.00080597,0.00080597
29,417.72,1.27895,1.64031,1.4079,0.59545,0.46888,0.50219,0.29795,1.21099,3.29859,1.47884,0.000823992,0.000823992,0.000823992
30,431,1.47579,1.81167,1.52873,0.51082,0.38036,0.49484,0.26287,1.36254,3.45451,1.58408,0.000841222,0.000841222,0.000841222
31,443.673,1.2978,1.66938,1.32331,0.51082,0.38036,0.49484,0.26287,1.36254,3.45451,1.58408,0.00085766,0.00085766,0.00085766
32,456.565,1.32129,1.53614,1.38375,0.82279,0.42291,0.60998,0.32806,1.37921,3.32934,1.54798,0.000873306,0.000873306,0.000873306
33,469.657,1.22669,1.55289,1.32054,0.71889,0.45455,0.63515,0.33561,1.38614,3.03614,1.49934,0.00088816,0.00088816,0.00088816
34,482.479,1.21841,1.54373,1.35265,0.71889,0.45455,0.63515,0.33561,1.38614,3.03614,1.49934,0.000902222,0.000902222,0.000902222
35,497.306,1.06019,1.34768,1.22379,0.80832,0.63636,0.73936,0.41058,1.32838,2.66496,1.44654,0.000915492,0.000915492,0.000915492
1,13.3267,2.28656,5.07056,2.61618,0.00227,0.68182,0.06077,0.0211,1.82356,4.55193,2.46896,2e-05,2e-05,2e-05
2,26.868,2.17529,4.41656,2.64809,0.00258,0.77273,0.11129,0.04957,1.74907,4.49191,2.39154,5.406e-05,5.406e-05,5.406e-05
3,40.1776,1.92789,4.14481,2.12316,0.00258,0.77273,0.25002,0.09969,1.66203,4.34329,2.25316,8.02e-05,8.02e-05,8.02e-05
4,53.6564,1.74733,3.78095,2.14408,0.00258,0.77273,0.30125,0.14575,1.57005,4.22549,2.1629,9.842e-05,9.842e-05,9.842e-05
5,68.2885,1.72003,3.74949,2.03104,0.00258,0.77273,0.34235,0.18115,1.51332,4.09584,2.07564,0.00010872,0.00010872,0.00010872
6,81.4946,1.53931,3.51042,1.83526,0.00258,0.77273,0.37541,0.21313,1.41655,4.082,1.8848,0.0001111,0.0001111,0.0001111
7,94.5336,1.64338,3.04082,1.9928,0.00258,0.77273,0.49407,0.25708,1.39835,3.95333,1.82726,0.00010556,0.00010556,0.00010556
