epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1206,2.28656,5.07056,2.61618,0.00227,0.68182,0.06077,0.0211,1.82356,4.55193,2.46896,2e-05,2e-05,2e-05
2,41.5007,2.17529,4.41656,2.64809,0.00258,0.77273,0.11129,0.04957,1.74907,4.49191,2.39154,5.406e-05,5.406e-05,5.406e-05
3,55.7173,1.92789,4.14481,2.12316,0.00258,0.77273,0.25002,0.09969,1.66203,4.34329,2.25316,8.02e-05,8.02e-05,8.02e-05
4,68.8647,1.74733,3.78095,2.14408,0.00258,0.77273,0.30125,0.14575,1.57005,4.22549,2.1629,9.842e-05,9.842e-05,9.842e-05
5,82.0566,1.72003,3.74949,2.03104,0.00258,0.77273,0.34235,0.18115,1.51332,4.09584,2.07564,0.00010872,0.00010872,0.00010872
6,95.1976,1.53931,3.51042,1.83526,0.00258,0.77273,0.37541,0.21313,1.41655,4.082,1.8848,0.0001111,0.0001111,0.0001111
7,108.315,1.64338,3.04082,1.9928,0.00258,0.77273,0.49407,0.25708,1.39835,3.95333,1.82726,0.00010556,0.00010556,0.00010556
8,121.532,1.61463,3.57241,1.74422,0.00258,0.77273,0.52936,0.33246,1.33809,3.87643,1.69954,9.21e-05,9.21e-05,9.21e-05
9,134.76,1.51648,3.07352,1.79579,0.00258,0.77273,0.57871,0.34837,1.28719,3.85554,1.61908,7.072e-05,7.072e-05,7.072e-05
10,147.755,1.30022,2.76568,1.53626,0.00258,0.77273,0.57656,0.35035,1.26548,3.80593,1.60385,4.142e-05,4.142e-05,4.142e-05
